Review_ID,Review,Sentiment
1,Excellent product and very useful,Positive
2,Average quality product,Neutral
3,Poor quality and bad service,Negative
4,Very happy with my purchase,Positive
5,Quality is neither good nor bad,Neutral
6,Very poor quality,Negative
7,Fantastic service and product,Positive
8,Average experience overall,Neutral
9,I regret buying this product,Negative
10,Wonderful product and easy to use,Positive
11,The product is okay,Neutral
12,Worst experience ever,Negative
13,I really love this product,Positive
14,The product works as expected,Neutral
15,The product stopped working,Negative
16,The quality is excellent,Positive
17,It is fine for the price,Neutral
18,Not worth the money,Negative
19,Very satisfied with the purchase,Positive
20,Nothing special about this product,Neutral
21,Very bad product,Negative
22,Amazing quality and fast delivery,Positive
23,It is an ordinary product,Neutral
24,I am disappointed with this product,Negative
25,"Great product, worth the money",Positive
26,The product is acceptable,Neutral
27,Terrible product and slow delivery,Negative
28,Good value for money,Positive
29,The product meets basic needs,Neutral
30,Bad experience overall,Negative
31,Excellent product and very useful,Positive
32,Average quality product,Neutral
33,Poor quality and bad service,Negative
34,Very happy with my purchase,Positive
35,Quality is neither good nor bad,Neutral
36,Very poor quality,Negative
37,Fantastic service and product,Positive
38,Average experience overall,Neutral
39,I regret buying this product,Negative
40,Wonderful product and easy to use,Positive
41,The product is okay,Neutral
42,Worst experience ever,Negative
43,I really love this product,Positive
44,The product works as expected,Neutral
45,The product stopped working,Negative
46,The quality is excellent,Positive
47,It is fine for the price,Neutral
48,Not worth the money,Negative
49,Very satisfied with the purchase,Positive
50,Nothing special about this product,Neutral
51,Very bad product,Negative
52,Amazing quality and fast delivery,Positive
53,It is an ordinary product,Neutral
54,I am disappointed with this product,Negative
55,"Great product, worth the money",Positive
56,The product is acceptable,Neutral
57,Terrible product and slow delivery,Negative
58,Good value for money,Positive
59,The product meets basic needs,Neutral
60,Bad experience overall,Negative
61,Excellent product and very useful,Positive
62,Average quality product,Neutral
63,Poor quality and bad service,Negative
64,Very happy with my purchase,Positive
65,Quality is neither good nor bad,Neutral
66,Very poor quality,Negative
67,Fantastic service and product,Positive
68,Average experience overall,Neutral
69,I regret buying this product,Negative
70,Wonderful product and easy to use,Positive
71,The product is okay,Neutral
72,Worst experience ever,Negative
73,I really love this product,Positive
74,The product works as expected,Neutral
75,The product stopped working,Negative
76,The quality is excellent,Positive
77,It is fine for the price,Neutral
78,Not worth the money,Negative
79,Very satisfied with the purchase,Positive
80,Nothing special about this product,Neutral
81,Very bad product,Negative
82,Amazing quality and fast delivery,Positive
83,It is an ordinary product,Neutral
84,I am disappointed with this product,Negative
85,"Great product, worth the money",Positive
86,The product is acceptable,Neutral
87,Terrible product and slow delivery,Negative
88,Good value for money,Positive
89,The product meets basic needs,Neutral
90,Bad experience overall,Negative
91,Excellent product and very useful,Positive
92,Average quality product,Neutral
93,Poor quality and bad service,Negative
94,Very happy with my purchase,Positive
95,Quality is neither good nor bad,Neutral
96,Very poor quality,Negative
97,Fantastic service and product,Positive
98,Average experience overall,Neutral
99,I regret buying this product,Negative
100,Wonderful product and easy to use,Positive
