PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,1,male,47.0,0,0,49.08,S
2,1,3,male,55.0,1,3,53.93,S
3,1,2,male,40.0,1,3,17.17,S
4,0,3,female,52.0,0,0,48.26,S
5,0,3,male,16.0,2,0,74.88,S
6,0,2,male,,0,0,50.22,S
7,0,2,male,30.0,1,1,28.78,S
8,1,3,female,19.0,0,0,36.53,S
9,0,1,male,17.0,2,0,119.1,Q
10,1,1,male,63.0,0,2,57.34,S
11,0,2,male,19.0,0,1,95.68,C
12,1,1,female,58.0,2,2,129.45,S
13,1,3,female,55.0,0,1,174.84,
14,0,3,male,62.0,0,0,16.79,C
15,0,3,female,23.0,3,0,201.31,S
16,0,3,male,9.0,3,2,159.67,S
17,0,3,male,12.0,0,1,27.1,S
18,0,1,female,1.0,0,0,219.31,S
19,0,3,male,,0,0,230.79,Q
20,0,3,female,1.0,0,0,22.08,C
21,0,3,female,34.0,0,1,74.46,Q
22,0,3,male,48.0,1,3,202.96,S
23,0,2,male,1.0,1,0,188.89,C
24,0,1,male,16.0,1,0,52.04,Q
25,0,1,male,61.0,1,0,58.07,S
26,1,2,male,64.0,0,3,97.18,S
27,0,3,female,63.0,0,1,124.87,C
28,0,3,male,69.0,0,1,157.33,S
29,0,1,female,22.0,0,0,96.8,C
30,0,3,male,67.0,0,0,119.53,S
31,0,2,female,26.0,2,0,188.7,C
32,0,1,male,16.0,0,0,16.15,S
33,0,1,male,51.0,0,1,68.53,S
34,1,2,male,57.0,0,1,180.42,S
35,1,3,male,29.0,1,3,224.56,C
36,1,2,female,69.0,0,3,131.46,S
37,0,3,male,47.0,0,0,136.42,S
38,0,3,male,62.0,0,1,33.27,S
39,1,2,male,69.0,1,2,115.86,C
40,0,3,male,16.0,0,1,136.54,S
41,0,3,female,48.0,1,0,66.11,C
42,0,2,female,,1,0,72.61,S
43,0,3,female,33.0,0,0,98.84,S
44,1,2,male,23.0,0,2,12.12,S
45,0,2,male,10.0,3,0,85.43,S
46,1,1,female,69.0,0,0,58.58,C
47,0,3,male,34.0,0,0,86.75,S
48,0,3,female,52.0,1,0,36.32,S
49,0,1,female,10.0,2,0,223.43,C
50,0,2,female,19.0,3,0,151.34,S
51,1,3,male,58.0,1,0,172.1,S
52,1,1,male,1.0,0,0,198.82,Q
53,1,1,female,69.0,0,1,128.25,S
54,1,3,male,4.0,1,0,28.35,S
55,0,3,male,16.0,0,1,137.63,Q
56,1,2,male,24.0,0,0,149.71,
57,0,3,female,2.0,2,0,188.21,S
58,0,3,female,32.0,0,1,112.04,S
59,0,1,male,24.0,0,0,38.22,C
60,0,3,male,12.0,0,0,76.14,S
61,0,2,male,50.0,0,0,95.39,S
62,0,3,female,35.0,0,1,164.05,C
63,1,3,male,33.0,0,0,145.81,C
64,0,3,male,33.0,0,1,93.69,S
65,0,1,female,61.0,0,0,246.73,S
66,0,3,female,51.0,1,0,154.3,S
67,0,2,female,43.0,0,0,64.84,C
68,1,1,female,,3,0,31.96,S
69,0,1,male,67.0,0,0,44.36,S
70,1,3,male,65.0,0,0,66.96,C
71,1,3,female,33.0,1,0,46.26,C
72,0,1,female,40.0,0,2,52.54,S
73,0,3,female,43.0,3,0,76.46,C
74,1,1,female,44.0,0,0,49.34,S
75,1,3,male,29.0,3,1,224.94,C
76,1,1,male,13.0,0,0,26.73,S
77,1,3,female,12.0,2,0,134.58,S
78,0,2,male,46.0,0,1,106.87,C
79,0,3,female,2.0,3,2,245.72,S
80,0,1,female,35.0,0,0,34.45,S
81,1,2,female,8.0,0,2,103.83,C
82,1,1,male,26.0,3,0,242.59,C
83,0,3,male,34.0,0,0,217.35,S
84,0,3,male,7.0,0,0,205.59,S
85,0,2,male,68.0,1,3,69.86,S
86,0,3,male,58.0,0,0,48.73,S
87,1,3,male,29.0,0,0,169.56,S
88,1,3,male,36.0,0,0,232.86,S
89,1,3,male,21.0,2,0,142.4,Q
90,0,2,male,,0,0,146.01,S
91,0,1,male,10.0,0,0,75.21,S
92,1,3,male,24.0,3,0,194.04,S
93,1,3,female,64.0,2,0,52.65,Q
94,0,3,male,49.0,0,0,85.82,S
95,1,2,male,36.0,0,0,110.52,S
96,0,2,male,24.0,0,0,130.47,S
97,0,3,female,23.0,0,0,66.09,S
98,0,3,male,62.0,0,2,35.13,S
99,0,3,male,37.0,0,0,155.48,C
100,0,3,male,12.0,0,0,77.32,Q
